trip_id,route_id,service_id,direction_id,shape_id,trip_short_name,trip_headsign,plk_category_code,plk_train_number,plk_train_name
PLK_IC_2026_206041995,IC_IC,PLK_54,,RAIL_41,3405 Baltazar,Bielsko-Biała Główna,IC,3405,BALTAZAR
PLK_IC_2026_206055451_LEG0,IC_IC,PLK_1,,RAIL_150,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_206055451_LEG1,IC_IC_BUS,PLK_1,,,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_206055451_LEG2,IC_IC,PLK_1,,RAIL_328,1638/9 Orzeszkowa,Szklarska Poręba Górna,IC,1638/9,ORZESZKOWA
PLK_IC_2026_206502760_LEG0,IC_IC_BUS,PLK_74,,,8312/3 Szkuner,Przemyśl Główny,IC,8312/3,SZKUNER
PLK_IC_2026_206502760_LEG1,IC_IC,PLK_74,,RAIL_329,8312/3 Szkuner,Przemyśl Główny,IC,8312/3,SZKUNER
PLK_IC_2026_206771434,IC_IC,PLK_242,,RAIL_174,68102/3 Swarożyc,Szczecin Główny,IC,68102/3,SWAROŻYC
PLK_IC_2026_206824238,IC_IC,PLK_254,,RAIL_94,1646/7 Konopnicka,Jelenia Góra,IC,1646/7,KONOPNICKA
PLK_IC_2026_206858918,IC_EIC,PLK_254,,RAIL_844,248 Berlin-Warszawa-Express,Berlin Hauptbahnhof,EC/EIC,17000/1,BERLIN-WARSZAWA-EXPRESS
PLK_IC_2026_207019362,IC_IC,PLK_323,,RAIL_44,5702/3 Drwęca,Poznań Główny,IC,5702/3,DRWĘCA
PLK_IC_2026_207334985,IC_IC,PLK_1017,,RAIL_232,7504/5 Bachus,Gdynia Główna,IC,7504/5,BACHUS
PLK_IC_2026_207606196,IC_IC,PLK_254,,RAIL_186,113 Silesia,Warszawa Wschodnia,EC/IC,41006/7,SILESIA
PLK_IC_2026_207889723,IC_IC,PLK_2,,RAIL_158,3810/1 Kossak,Kołobrzeg,IC,3810/1,KOSSAK
PLK_IC_2026_208113101,IC_IC,PLK_841,,RAIL_163,5116/7 Wybrzeże,Łódź Fabryczna,IC,5116/7,WYBRZEŻE
PLK_IC_2026_208160918,IC_IC,PLK_680,,RAIL_145,207 Porta Moravica,Graz Hauptbahnhof,EC/IC,34002/3,PORTA MORAVICA
PLK_IC_2026_208588067,IC_IC,PLK_463,,RAIL_76,1630/1 Nałkowska,Wrocław Główny,IC,1630/1,NAŁKOWSKA
PLK_IC_2026_208595562,IC_EIP,PLK_475,,RAIL_869,5302/3,Kraków Główny,EIP,5302/3,
PLK_IC_2026_208817531,IC_IC,PLK_329,,RAIL_45,7506/7 Ukiel,Olsztyn Główny,IC,7506/7,UKIEL
PLK_IC_2026_209282643,IC_IC,PLK_546,,RAIL_196,133 Saxonia,Wrocław Główny,EC/IC,66002,SAXONIA
PLK_IC_2026_209302775,IC_IC,PLK_254,,RAIL_158,3810/1 Kossak,Kołobrzeg,IC,3810/1,KOSSAK
PLK_IC_2026_209466962,IC_IC,PLK_521,,RAIL_45,7506/7 Ukiel,Olsztyn Główny,IC,7506/7,UKIEL
PLK_IC_2026_209596257_LEG0,IC_IC_BUS,PLK_238,,,8306/7 Zefir,Przemyśl Główny,IC,8306/7,ZEFIR
PLK_IC_2026_209596257_LEG1,IC_IC,PLK_238,,RAIL_332,8306/7 Zefir,Przemyśl Główny,IC,8306/7,ZEFIR
PLK_IC_2026_209727433,IC_IC,PLK_333,,RAIL_277,2700/1 Strzelecki,Zielona Góra Główna,IC,2700/1,STRZELECKI
