stop_id,stop_name,stop_lat,stop_lon
10009,Korsze,54.17218815958,21.13651401118
1008,Świnoujście,53.90470769185,14.26656323212
1024,Międzyzdroje,53.92428980699,14.45527677392
10405,Kętrzyn,54.07262720034,21.38515338756
1073,Świnoujście Port,53.90122157607,14.26013897421
10900,Morąg,53.9190426325,19.92265326678
10934,Pasłęk,54.05549901392,19.65647127013
1107,Szczecin Dąbie,53.39123361294,14.66926219396
11809,Ełk,53.82500922001,22.36246191495
12252,Grajewo,53.64989283042,22.44843402862
12609,Giżycko,54.03136915601,21.77804811001
12807,Suwałki,54.10586069177,22.94531372953
12872,Trakiszki,54.23942758887,23.20794756812
12963,Augustów,53.85269715953,23.02612300308
13003,Kostrzyn,52.59137475132,14.64705568111
13334,Chojna,52.96358798355,14.44419154429
13417,Mieszkowice,52.7817920555,14.48582982023
13904,Gorzów Wielkopolski,52.72749044273,15.22879814324
1404,Goleniów,53.55909731774,14.83954776098
14043,Witnica,52.66737323074,14.89613557767
14308,Zwierzyn,52.83680698734,15.58457212689
14407,Piła Główna,53.14309783834,16.74507578666
14514,Wyrzysk Osiek,53.11915408536,17.29478465849
14548,Trzcianka,53.03334950777,16.46566994802
14704,Wałcz,53.27510473715,16.48431759469
14761,Tuczno Krajeńskie,53.21895710594,16.17519857003
15008,Kalisz Pomorski,53.27774129392,15.88089584789
15354,Złotów,53.35922537361,17.05310625693
15529,Lipka Krajeńska,53.49734059016,17.25740911939
15537,Krajenka,53.28905096242,16.99163627891
1560,Wysoka Kamieńska,53.82558867231,14.83212091762
15602,Chojnice,53.68889583547,17.57791578233
16139,Rogoźno Wielkopolskie,52.75438614339,16.97174572074
16188,Chodzież,52.99399610345,16.90955846355
16402,Jastrowie,53.40813914877,16.79827740168
1651,Kamień Pomorski,53.96616399426,14.77421193812
16717,Bydgoszcz Wschód,53.12792718815,18.08195121957
17202,Laskowice Pomorskie,53.49127459736,18.45632827308
179193,Ягодин,51.1982115567,23.89584302366
179200,Mockava,54.32812093551,23.35573813462
179212,Frankfurt (Oder),52.33643454168,14.54657617299
179221,Petrovice u Karviné,49.89406074761,18.55008243442
179223,Bohumín,49.90081976766,18.35969923854
179228,Lichkov,50.09723178982,16.65857254922
179301,Мостиська IІ,49.81673815357,23.03380250394
18200,Nakło nad Notecią,53.142570647,17.60715211531
18374,Bydgoszcz Leśna,53.14351512249,18.03218214594
18408,Bydgoszcz Główna,53.13528294461,17.99163586184
18705,Inowrocław,52.8054428257,18.24415940463
18838,Inowrocław Rąbinek,52.76926334759,18.24369370401
190042,Рава-Руська,50.23284643759,23.63707422674
19174,Babiak,52.35331125446,18.67035268664
19190,Piotrków Kujawski,52.53779355906,18.51947306514
19406,Zduńska Wola Karsznice,51.58911622285,18.99462102771
19430,Zduńska Wola,51.61127947075,18.94675425261
19489,Sieradz,51.59775671857,18.71469214251
19703,Toruń Główny,53.00028543145,18.61523577175
19794,Toruń Miasto,53.01255851114,18.61958619091
19844,Solec Kujawski,53.07834855349,18.22523224971
19901,Toruń Wschodni,53.02627374254,18.63324836377
20503,Grudziądz,53.48202833459,18.760921647
20719,Kowalewo Pomorskie,53.16390015664,18.86912122812
20743,Wąbrzeźno,53.26501488054,18.98184118506
20909,Jabłonowo Pomorskie,53.39343883028,19.16297520632
21204,Brodnica,53.26365677302,19.40584122598
21428,Rypin,53.06863231073,19.42769586772
21501,Aleksandrów Kujawski,52.87577962272,18.69652461131
21600,Włocławek,52.65299481041,19.05898571719
21808,Iława Główna,53.58231351954,19.57368118092
22004,Ostróda,53.69967504512,19.95142715682
2204,Stargard,53.33916044899,15.03132722574
22202,Nidzica,53.35711425351,20.41398876596
22442,Działdowo,53.23894199774,20.1672217791
22905,Prabuty,53.75781755726,19.21039490068
